SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Elongation till break,1-Preload,0.000,44,0,-0.061
Elongation till break,1-Preload,0.200,44,0,0.041
Elongation till break,1-Preload,0.400,44,0,-0.036
Elongation till break,1-Stretch,0.420,44,0,-0.036
Elongation till break,1-Stretch,0.620,44.372,0.372,0.324
Elongation till break,1-Stretch,0.820,44.813,0.813,0.787
Elongation till break,1-Stretch,1.020,45.255,1.255,1.378
Elongation till break,1-Stretch,1.220,45.696,1.696,1.917
Elongation till break,1-Stretch,1.420,46.137,2.137,2.354
Elongation till break,1-Stretch,1.620,46.578,2.578,2.688
Elongation till break,1-Stretch,1.820,47.019,3.019,3.151
Elongation till break,1-Stretch,2.020,47.46,3.46,3.639
Elongation till break,1-Stretch,2.220,47.901,3.901,3.999
Elongation till break,1-Stretch,2.420,48.342,4.342,4.564
Elongation till break,1-Stretch,2.620,48.783,4.783,5.027
Elongation till break,1-Stretch,2.820,49.224,5.224,5.592
Elongation till break,1-Stretch,3.020,49.665,5.665,6.106
Elongation till break,1-Stretch,3.220,50.107,6.107,6.646
Elongation till break,1-Stretch,3.420,50.547,6.547,7.134
Elongation till break,1-Stretch,3.620,50.989,6.989,7.545
Elongation till break,1-Stretch,3.820,51.43,7.43,7.725
Elongation till break,1-Stretch,4.020,51.871,7.871,8.188
Elongation till break,1-Stretch,4.220,52.312,8.312,-0.396
Elongation till break,1-Stretch,4.420,52.753,8.753,-0.190
Elongation till break,1-Stretch,4.620,53.194,9.194,-0.164
Elongation till break,1-Stretch,4.820,53.635,9.635,-0.139
Elongation till break,1-Stretch,5.020,54.076,10.076,-0.061
Elongation till break,1-Stretch,5.220,54.517,10.517,-0.061
